lat,lon,tos_degC
-79.5,1,NaN
-79.5,3,NaN
-79.5,5,NaN
-79.5,7,NaN
-79.5,9,NaN
-79.5,11,NaN
-79.5,13,NaN
-79.5,15,NaN
-79.5,17,NaN
-79.5,19,NaN
-79.5,21,NaN
-79.5,23,NaN
-79.5,25,NaN
-79.5,27,NaN
-79.5,29,NaN
-79.5,31,NaN
-79.5,33,NaN
-79.5,35,NaN
-79.5,37,NaN
-79.5,39,NaN
-79.5,41,NaN
-79.5,43,NaN
-79.5,45,NaN
-79.5,47,NaN
-79.5,49,NaN
-79.5,51,NaN
-79.5,53,NaN
-79.5,55,NaN
-79.5,57,NaN
-79.5,59,NaN
-79.5,61,NaN
-79.5,63,NaN
-79.5,65,NaN
-79.5,67,NaN
-79.5,69,NaN
-79.5,71,NaN
-79.5,73,NaN
-79.5,75,NaN
-79.5,77,NaN
-79.5,79,NaN
-79.5,81,NaN
-79.5,83,NaN
-79.5,85,NaN
-79.5,87,NaN
-79.5,89,NaN
-79.5,91,NaN
-79.5,93,NaN
-79.5,95,NaN
-79.5,97,NaN
-79.5,99,NaN
-79.5,101,NaN
-79.5,103,NaN
-79.5,105,NaN
-79.5,107,NaN
-79.5,109,NaN
-79.5,111,NaN
-79.5,113,NaN
-79.5,115,NaN
-79.5,117,NaN
-79.5,119,NaN
-79.5,121,NaN
-79.5,123,NaN
-79.5,125,NaN
-79.5,127,NaN
-79.5,129,NaN
-79.5,131,NaN
-79.5,133,NaN
-79.5,135,NaN
-79.5,137,NaN
-79.5,139,NaN
-79.5,141,NaN
-79.5,143,NaN
-79.5,145,NaN
-79.5,147,NaN
-79.5,149,NaN
-79.5,151,NaN
-79.5,153,NaN
-79.5,155,NaN
-79.5,157,NaN
-79.5,159,NaN
-79.5,161,NaN
-79.5,163,NaN
-79.5,165,NaN
-79.5,167,NaN
-79.5,169,NaN
-79.5,171,NaN
-79.5,173,NaN
-79.5,175,NaN
-79.5,177,NaN
-79.5,179,NaN
-79.5,181,NaN
-79.5,183,NaN
-79.5,185,NaN
-79.5,187,NaN
-79.5,189,NaN
-79.5,191,NaN
-79.5,193,NaN
-79.5,195,NaN
-79.5,197,NaN
-79.5,199,NaN
-79.5,201,NaN
-79.5,203,NaN
-79.5,205,NaN
-79.5,207,NaN
-79.5,209,NaN
-79.5,211,NaN
-79.5,213,NaN
-79.5,215,NaN
-79.5,217,NaN
-79.5,219,NaN
-79.5,221,NaN
-79.5,223,NaN
-79.5,225,NaN
-79.5,227,NaN
-79.5,229,NaN
-79.5,231,NaN
-79.5,233,NaN
-79.5,235,NaN
-79.5,237,NaN
-79.5,239,NaN
-79.5,241,NaN
-79.5,243,NaN
-79.5,245,NaN
-79.5,247,NaN
-79.5,249,NaN
-79.5,251,NaN
-79.5,253,NaN
-79.5,255,NaN
-79.5,257,NaN
-79.5,259,NaN
-79.5,261,NaN
-79.5,263,NaN
-79.5,265,NaN
-79.5,267,NaN
-79.5,269,NaN
-79.5,271,NaN
-79.5,273,NaN
-79.5,275,NaN
-79.5,277,NaN
-79.5,279,NaN
-79.5,281,NaN
-79.5,283,NaN
-79.5,285,NaN
-79.5,287,NaN
-79.5,289,NaN
-79.5,291,NaN
-79.5,293,NaN
-79.5,295,NaN
-79.5,297,NaN
-79.5,299,NaN
-79.5,301,NaN
-79.5,303,NaN
-79.5,305,NaN
-79.5,307,NaN
-79.5,309,NaN
-79.5,311,NaN
-79.5,313,NaN
-79.5,315,NaN
-79.5,317,NaN
-79.5,319,NaN
-79.5,321,NaN
-79.5,323,NaN
-79.5,325,NaN
-79.5,327,NaN
-79.5,329,NaN
-79.5,331,NaN
-79.5,333,NaN
-79.5,335,NaN
-79.5,337,NaN
-79.5,339,NaN
-79.5,341,NaN
-79.5,343,NaN
-79.5,345,NaN
-79.5,347,NaN
-79.5,349,NaN
-79.5,351,NaN
-79.5,353,NaN
-79.5,355,NaN
-79.5,357,NaN
-79.5,359,NaN
-78.5,1,NaN
-78.5,3,NaN
-78.5,5,NaN
-78.5,7,NaN
-78.5,9,NaN
-78.5,11,NaN
-78.5,13,NaN
-78.5,15,NaN
-78.5,17,NaN
-78.5,19,NaN
-78.5,21,NaN
-78.5,23,NaN
-78.5,25,NaN
-78.5,27,NaN
-78.5,29,NaN
-78.5,31,NaN
-78.5,33,NaN
-78.5,35,NaN
-78.5,37,NaN
-78.5,39,NaN
-78.5,41,NaN
-78.5,43,NaN
-78.5,45,NaN
-78.5,47,NaN
-78.5,49,NaN
-78.5,51,NaN
-78.5,53,NaN
-78.5,55,NaN
-78.5,57,NaN
-78.5,59,NaN
-78.5,61,NaN
-78.5,63,NaN
-78.5,65,NaN
-78.5,67,NaN
-78.5,69,NaN
-78.5,71,NaN
-78.5,73,NaN
-78.5,75,NaN
