Sample,TOC,Mg,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE,Al,Si,P,S,K,Ca
LCLD_5,1.47,29387.02,4014.77,251.665,84.575,523.96,33375.89,0,34.72,22.85,45,0,0,19.185,322.305,11.66,82.64,5.53,0,0,0,0,0,0,0,0,0,0,0,797842.44,15833.035,70728.71,0,4558.97,5941.025,35424.395
LCLD_8,1.37,36385.1,3343.373333,73.72333333,37.40666667,511.2616667,33616.54333,0,44.53,15.84666667,48.65166667,0,0,21.87833333,339.8533333,9.825,64.855,6.866666667,0,0,0,0,0,0,0,0,1.53,0,0,807738.295,14554.51833,68978.015,0,4794.981667,6079.771667,34335.22
LCLD_11,0.96,26963.39,3074.715,109.815,25.98166667,509.9533333,33657.16,0,47.20833333,20.115,49.34,0,0,18.30666667,313.0983333,9.065,60.30166667,5.888333333,0,0,0,0,0,0,0,0,0,0,0,819145.8183,12698.50667,60939.575,76.01,5447.87,5741.038333,32055.69667
LCLD_14,0.93,0,3177.236667,119.53,55.21833333,477.6083333,31574.95,0,36.15333333,17.31166667,45.50333333,0,0,17.51666667,329.255,11.05833333,72.00166667,10.135,0,0,0,0,0,0,0,0,0,0,0,843028.0383,11030.205,48494.25,0,6967.685,5148.985,29530.81
LCLD_17,1.47,0,1599.716667,0,0,350.895,23254.27833,0,25.545,14.96333333,38.92333333,0,0,17.33833333,265.0883333,9.658333333,57.5,6.745,0,0,0,0,0,0,0,0,0,0,0,923940.9217,4958.701667,16915.66833,0,9221.118333,3540.12,15782.82
LCLD_20,1.06,0,697.6533333,0,0,186.19,14501.065,0,3.288333333,6.4,28.80333333,0,0,15.43333333,218.7933333,8.578333333,48.29166667,9.276666667,0,0,0,0,0,0,0,1.065,0,0,0,942031.1983,3974.638333,13751.42,0,9575.723333,2760.605,8347.35
LCLD_23,1.5,24370.15,1864.891667,30.015,0,323.0033333,23646.355,0,23.19333333,8.703333333,38.705,0,0,18.79833333,278.685,10.75166667,66.03833333,8.29,0,0,4.893333333,0,0,0,0,0,0,0,0,891730.6067,6168.721667,24108.7,0,9036.985,3718.03,16867.03667
LCLD_26,0.37,0,1733.221667,25.84166667,12.51333333,326.8116667,23634.66333,0,27.40833333,10.53166667,39.135,0,0,18.52333333,288.3483333,10.85833333,65.73166667,12.54333333,0,0,0,0,0,0,0,1.001666667,0,5.713333333,0,921083.6183,4814.41,17509.63667,0,9654.52,3284.636667,13970.83667
LCLD_29,0.52,0,3140.22,142.1766667,24.11333333,368.4916667,26781.02833,0,30.55,5.391666667,36.41166667,0,0,20.12666667,359.6833333,12.86666667,82.68666667,11.85333333,0,0,0,0,0,0,0,0,0,0,0,905134.28,5709.963333,21901.385,0,10407.91167,3628.72,18174.96667
LCLD_32,0.45,23949.08,3566.998333,88.63166667,58.27833333,398.155,28306.03833,0,31.37166667,7.236666667,37.96333333,0,0,19.44833333,390.615,14.14666667,83.6,12.43333333,0,0,0,0,0,0,0,0,0,0,0,879508.6767,9557.43,33494.32667,0,9345.961667,4159.24,23361.36
LCLD_35,1.03,0,4409.996667,154.915,69.86833333,506.135,33417.095,0,30.25666667,13.69,45.61,0,0,23.68833333,373.3066667,12.945,85.95833333,14.615,0,0,0,0,0,0,0,0,0,0,0,864536.6483,10703.49,41476.80333,0,7787.908333,4821.023333,27939.16333
LCLD_38,1.53,0,2876.898333,95.50166667,0,436.135,30657.82333,0,38.01,15.955,44.14333333,0,0,20.61666667,306.8016667,9.943333333,61.475,8.431666667,0,0,0,0,0,0,0,0,0,0,0,866904.505,9515.708333,42034.99333,0,7011.456667,5033.036667,27128.90167
LCLD_41,0.91,0,2566.445,119.87,28.50666667,429.015,28935.41,0,28.07,15.57833333,44.605,0,0,19.12,292.0166667,9.283333333,62.785,10.06833333,0,0,0,0,0,0,0,0,0,0,0,882954.795,7461.945,32548.18,0,7830.326667,4504.446667,23763.305
LCLD_44,1.54,19446.4,2681.816667,0,0,414.6883333,27940.125,0,31.91333333,12.94,41.20333333,0,0,17.19333333,314.3016667,11.16,62.195,12.59666667,0,0,0,0,0,0,0,0,0,3.371666667,0,884417.28,7314.968333,32313.50667,0,7663.843333,4265.406667,24543.89833
LCLD_47,2.37,0,2021.293333,0,0,387.9133333,27682.58,0,29.48,21.83333333,45.30833333,0,0,17.56166667,239.365,9.135,51.42666667,12.015,0,5.695,0,0,0,0,0,0,0,0,0,897849.9767,6665.758333,32544.92,0,6049.895,4233.911667,22131.93167
LCLD_50,2.3,18941.24,2117.581667,37.725,14.36,461.27,30819.17,0,33.04,27.53,49.87333333,0,0,16.18333333,217.2266667,7.79,50.62333333,9.295,0,0,0,0,0,0,0,1.145,0,0,0,859423.1367,9006.708333,47796.705,0,5032.263333,5038.586667,25241.31833
LCLD_53,2.17,19107.56,2146.37,108.88,0,484.9383333,31687.18833,0,39.60666667,27.62666667,49.95333333,0,0,16.55,208.1216667,6.433333333,49.92166667,4.015,0,0,0,0,0,0,0,1.165,0,0,0,860953.0367,9720.543333,46187.635,0,5444.103333,5077.545,24126.47833
LCLD_56,2.24,18106.52,2501.196667,26.81,0,484.4683333,33465.51167,0,37.18333333,29.35833333,55.84666667,0.811666667,0,16.56666667,218.8233333,6.92,51.50166667,8.59,0,0,0,0,0,0,0,1.125,0,0,0,848353.585,10675.34833,50707.19667,0,5561.133333,5303.435,25726.04833
LCLD_59,1.89,27617.92,2547.31,28.09666667,10.47666667,522.6866667,33997.095,0,40.44833333,27.11333333,51.01666667,0,0,15.37666667,224.1666667,7.366666667,51.94666667,3.553333333,0,0,0,0,0,0,0,1.061666667,1.383333333,0,0,835233.845,12292.275,58345.51333,0,5420.473333,5527.226667,26488.58
LCLD_62,1.69,29553.8,2983.49,56.7,0,555.8133333,36488.84167,0,48.68333333,31.63166667,54.28333333,0,0,14.645,238.3566667,7.463333333,52.315,3.355,0,0,0,0,0,0,0,0,0,0,0,792394.1283,16553.14167,78671.555,0,5604.316667,6233.036667,31601.305
SL_2,10.4,24640.36,51.18,0,0,167.976,4255.992,0,0,6.05,12.38,0,0,5.072,53.022,3.564,11.888,6.484,15.756,8.726,0,0,0,0,0,0,0,15.546,0,899944.958,0,6983.834,0,54659.652,1647.438,4443.694
