,decyear,east(m),north(m),up(m)
0,2020.0,0.716406,0.947121,0.252496
1,2020.0027,0.718859,0.947217,0.259715
2,2020.0055,0.720184,0.947614,0.25759
3,2020.0082,0.719609,0.947649,0.251804
4,2020.011,0.719512,0.946755,0.257107
5,2020.0137,0.719442,0.947971,0.25045
6,2020.0164,0.718293,0.947213,0.252357
7,2020.0192,0.719999,0.947883,0.258848
8,2020.0219,0.718375,0.948633,0.260826
9,2020.0246,0.720195,0.947673,0.258414
10,2020.0274,0.717159,0.947867,0.256433
11,2020.0301,0.718462,0.947825,0.257869
12,2020.0329,0.718699,0.948878,0.255563
13,2020.0356,0.716789,0.949087,0.257771
14,2020.0383,0.718567,0.950314,0.259085
15,2020.0411,0.717343,0.949803,0.263217
16,2020.0438,0.718953,0.948238,0.258706
17,2020.0465,0.719098,0.94952,0.253856
18,2020.0493,0.719217,0.94918,0.255964
19,2020.052,0.719367,0.950298,0.253085
20,2020.0548,0.718416,0.950145,0.25947
21,2020.0575,0.718612,0.95035,0.262053
22,2020.0602,0.719958,0.949243,0.261337
23,2020.063,0.718694,0.949862,0.253487
24,2020.0739,0.717992,0.950748,0.256851
25,2020.0767,0.720235,0.949022,0.260491
26,2020.0794,0.720875,0.949438,0.258918
27,2020.0821,0.722666,0.949772,0.253883
28,2020.0849,0.720371,0.946912,0.253726
29,2020.0931,0.719156,0.952412,0.258887
30,2020.0958,0.719167,0.951243,0.257419
31,2020.0986,0.719635,0.9537,0.260629
32,2020.1013,0.721048,0.954294,0.256942
33,2020.104,0.720507,0.954535,0.255181
34,2020.1068,0.719396,0.953709,0.258517
35,2020.1095,0.723124,0.954242,0.253629
36,2020.1123,0.720471,0.954888,0.251996
37,2020.115,0.718501,0.953918,0.253655
38,2020.1177,0.72031,0.952339,0.250092
39,2020.1205,0.720143,0.952946,0.252507
40,2020.1232,0.719738,0.95265,0.249696
41,2020.1259,0.720593,0.953629,0.249093
42,2020.1287,0.719815,0.952101,0.245055
43,2020.1314,0.72224,0.953469,0.247122
44,2020.1342,0.722025,0.953472,0.246996
45,2020.1369,0.721478,0.952769,0.242857
46,2020.1396,0.720377,0.954152,0.245333
47,2020.1424,0.721581,0.950254,0.240583
48,2020.1451,0.722095,0.950929,0.239465
49,2020.1478,0.721986,0.951536,0.236989
50,2020.1506,0.721107,0.953391,0.236469
51,2020.1533,0.719644,0.951858,0.232376
52,2020.1588,0.721817,0.952341,0.234534
53,2020.1615,0.721739,0.950346,0.237507
54,2020.1643,0.721829,0.949638,0.239307
55,2020.167,0.718188,0.950275,0.240486
56,2020.1697,0.720888,0.949768,0.232128
57,2020.1725,0.72155,0.95166,0.234746
58,2020.1752,0.72173,0.950699,0.235996
59,2020.178,0.720641,0.95102,0.2306
60,2020.1807,0.719438,0.950415,0.235886
61,2020.1834,0.718072,0.950654,0.231583
62,2020.1862,0.719775,0.950398,0.2285
63,2020.1889,0.719779,0.948602,0.232089
64,2020.1944,0.718678,0.949654,0.227742
65,2020.1971,0.717576,0.949066,0.230841
66,2020.1999,0.719597,0.950328,0.228483
67,2020.2026,0.719364,0.949607,0.227892
68,2020.2053,0.718197,0.950259,0.231056
69,2020.2081,0.71647,0.95043,0.229533
70,2020.2108,0.716951,0.94973,0.23377
71,2020.2163,0.716181,0.951222,0.228319
72,2020.219,0.715586,0.949554,0.231262
73,2020.2218,0.715727,0.949585,0.232962
74,2020.2245,0.71577,0.949231,0.233708
75,2020.2272,0.715887,0.947496,0.23661
76,2020.23,0.714736,0.951071,0.23037
77,2020.2327,0.71377,0.949371,0.230281
78,2020.2355,0.714742,0.950164,0.236197
79,2020.2382,0.715124,0.950624,0.237043
80,2020.2409,0.714515,0.949841,0.233821
81,2020.2437,0.715121,0.95119,0.231299
82,2020.2464,0.714676,0.953031,0.228928
83,2020.2519,0.714036,0.952246,0.23746
84,2020.2546,0.71412,0.953876,0.231532
85,2020.2574,0.714644,0.952543,0.235436
86,2020.2601,0.714675,0.951293,0.23775
87,2020.2628,0.714052,0.9526,0.235098
88,2020.2656,0.714698,0.95315,0.234984
89,2020.2683,0.713613,0.951776,0.229732
90,2020.271,0.715449,0.952526,0.226414
91,2020.2738,0.714601,0.953165,0.232379
92,2020.2765,0.713116,0.952822,0.234338
93,2020.2793,0.714449,0.952685,0.235134
94,2020.282,0.714742,0.953125,0.234549
95,2020.2847,0.715665,0.954603,0.229035
96,2020.2875,0.715731,0.954452,0.229584
97,2020.2902,0.714481,0.955545,0.234044
98,2020.293,0.715158,0.953979,0.23428
99,2020.2957,0.715193,0.952712,0.23419
100,2020.2984,0.715692,0.95537,0.230144
101,2020.3012,0.717907,0.953789,0.228439
102,2020.3039,0.716873,0.956232,0.23203
103,2020.3066,0.716286,0.956542,0.230942
104,2020.3094,0.715598,0.956545,0.225791
105,2020.3121,0.71666,0.954417,0.226724
106,2020.3149,0.717081,0.954848,0.224372
107,2020.3176,0.715985,0.95467,0.231916
108,2020.3203,0.715467,0.954446,0.232568
109,2020.3231,0.715051,0.955325,0.22772
110,2020.3258,0.715732,0.955116,0.22962
111,2020.3285,0.715255,0.954466,0.227105
112,2020.3313,0.715096,0.955933,0.227978
113,2020.334,0.713417,0.956062,0.227997
114,2020.3368,0.711956,0.955006,0.229827
115,2020.3395,0.712585,0.954826,0.225614
116,2020.3422,0.716275,0.954997,0.219881
117,2020.345,0.71498,0.956183,0.220534
118,2020.3477,0.713532,0.956589,0.220153
119,2020.3504,0.713044,0.957134,0.223271
120,2020.3532,0.712503,0.95402,0.219185
121,2020.3559,0.711868,0.955425,0.218913
122,2020.3587,0.711828,0.953702,0.22386
123,2020.3614,0.712567,0.955043,0.22215
124,2020.3641,0.71092,0.95495,0.22006
125,2020.3669,0.71217,0.954398,0.221453
126,2020.3696,0.712321,0.955425,0.222392
127,2020.3723,0.713908,0.956482,0.217397
128,2020.3751,0.71414,0.955675,0.223975
129,2020.3778,0.714583,0.956272,0.223498
130,2020.3806,0.713918,0.956088,0.223341
131,2020.3833,0.714703,0.955849,0.218014
132,2020.386,0.714547,0.955243,0.217272
133,2020.3888,0.714945,0.955936,0.215824
134,2020.3915,0.713926,0.957133,0.215001
135,2020.3943,0.715915,0.957416,0.214457
136,2020.397,0.715489,0.956645,0.212057
137,2020.3997,0.714869,0.959298,0.197029
138,2020.4025,0.716982,0.956992,0.206969
139,2020.4052,0.715385,0.95663,0.203246
140,2020.4079,0.716536,0.957001,0.209157
141,2020.4107,0.716665,0.956267,0.21031
142,2020.4134,0.716074,0.957198,0.206232
143,2020.4162,0.715581,0.956409,0.207587
144,2020.4189,0.716511,0.956425,0.202186
145,2020.4216,0.714404,0.955118,0.203529
146,2020.4244,0.715742,0.956656,0.200684
147,2020.4271,0.717001,0.956971,0.204026
148,2020.4298,0.717306,0.957282,0.201005
149,2020.4326,0.714826,0.957649,0.199063
150,2020.4353,0.716232,0.956401,0.201348
151,2020.4381,0.714445,0.956941,0.19903
152,2020.4408,0.714945,0.956734,0.198807
153,2020.4435,0.716295,0.955995,0.19323
154,2020.4463,0.71701,0.958664,0.199431
155,2020.449,0.717317,0.956828,0.199622
156,2020.4517,0.716943,0.957734,0.197617
157,2020.4545,0.716834,0.956476,0.199487
158,2020.4572,0.715405,0.957827,0.198279
159,2020.46,0.716511,0.958322,0.194597
160,2020.4627,0.715581,0.957807,0.191524
161,2020.4654,0.715455,0.956812,0.19633
162,2020.4682,0.71663,0.955301,0.194112
163,2020.4709,0.718278,0.955048,0.196941
164,2020.4736,0.717049,0.958797,0.188282
165,2020.4764,0.717766,0.959017,0.190217
166,2020.4791,0.717027,0.958818,0.193334
167,2020.4819,0.717722,0.957147,0.198452
168,2020.4846,0.716728,0.95849,0.189177
169,2020.4873,0.716384,0.957577,0.195388
170,2020.4901,0.71637,0.95625,0.196551
171,2020.4928,0.717173,0.956449,0.195355
172,2020.4956,0.71546,0.957024,0.191214
173,2020.4983,0.716081,0.956352,0.192717
